Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
HD,231.14,Call,245.00,09/20/19,14,0.39,0.4,0.40,0.40,61894,123,503.2,21.49%,"15:58 ET"
LULU,202.72,Put,200.00,09/06/19,0,0.02,0.03,0.04,0.03,7100,123,57.72,0.00%,"15:47 ET"
GPS,16.82,Call,18.00,09/13/19,7,0.16,0.18,0.19,0.18,10237,249,41.11,61.72%,"15:48 ET"
KEM,18.1,Call,20.00,10/18/19,42,0.40,0.43,0.45,0.43,4073,115,35.42,43.08%,"15:19 ET"
TSCO,103.88,Call,105.00,09/20/19,14,1.65,1.73,1.80,1.75,6842,207,33.05,27.62%,"15:39 ET"
AOBC,6.08,Call,6.50,09/20/19,14,0.20,0.23,0.25,0.22,10012,338,29.62,79.31%,"15:56 ET"
XPO,72.34,Call,80.00,10/18/19,42,1.50,1.6,1.70,1.65,3577,124,28.85,42.80%,"15:36 ET"
OXY,45.53,Call,47.50,10/18/19,42,0.79,0.8,0.81,0.81,56991,2023,28.17,25.23%,"15:53 ET"
TLRD,5.51,Put,6.00,09/20/19,14,0.95,1.13,1.30,1.15,7857,288,27.28,196.17%,"15:41 ET"
FRO,8.5,Call,8.00,10/18/19,42,0.80,0.85,0.90,0.90,4312,182,23.69,55.02%,"15:12 ET"
C,65.99,Call,71.00,09/20/19,14,0.04,0.05,0.06,0.06,6658,283,23.53,22.22%,"15:20 ET"
AMD,30.53,Put,30.00,12/20/19,105,2.94,2.95,2.95,2.93,5114,241,21.22,50.76%,"15:43 ET"
AMZN,1834.1,Put,1832.50,09/06/19,0,1.26,1.4,1.53,1.60,3598,172,20.92,0.00%,"15:59 ET"
TSN,86.04,Put,86.00,09/06/19,0,0.10,0.13,0.15,0.06,2511,133,18.88,0.00%,"15:49 ET"
ZNGA,5.87,Call,6.50,10/11/19,35,0.09,0.1,0.10,0.09,2119,116,18.27,40.30%,"15:53 ET"
F,9.34,Put,9.00,10/04/19,28,0.12,0.13,0.13,0.13,2399,135,17.77,27.43%,"15:25 ET"
OMI,7.05,Call,7.50,10/18/19,42,0.45,0.5,0.55,0.50,3668,209,17.55,68.95%,"15:50 ET"
TGT,110,Put,110.00,09/06/19,0,0.05,0.08,0.10,0.06,1985,114,17.41,0.00%,"16:01 ET"
UBER,31.96,Put,20.00,12/20/19,105,0.20,0.23,0.25,0.22,3155,182,17.34,58.40%,"15:19 ET"
WDC,62.17,Call,65.00,09/27/19,21,1.29,1.32,1.35,1.31,2792,168,16.62,40.21%,"15:33 ET"
FIZZ,40.77,Put,45.00,12/20/19,105,6.70,7,7.30,7.50,2105,128,16.45,57.83%,"12:20 ET"
ZNGA,5.87,Call,6.00,10/18/19,42,0.33,0.34,0.35,0.34,52018,3278,15.87,49.93%,"15:54 ET"
TXN,127.2,Put,125.00,11/15/19,70,5.05,5.1,5.15,5.10,2328,147,15.84,28.91%,"14:55 ET"
AAPL,213.91,Put,195.00,11/15/19,70,4.05,4.1,4.15,4.10,43113,2750,15.68,31.81%,"15:55 ET"
CGC,27.69,Put,27.50,09/06/19,0,0.01,0.02,0.03,0.03,1902,124,15.34,0.00%,"15:22 ET"
UNH,229.57,Call,235.00,09/13/19,7,0.77,0.79,0.81,0.80,14477,1032,14.03,20.72%,"15:47 ET"
ROKU,170.02,Put,172.50,09/06/19,0,2.58,2.7,2.82,2.67,2023,145,13.95,0.00%,"15:56 ET"
LCI,13.2,Put,12.50,09/20/19,14,0.80,0.88,0.95,0.80,1613,118,13.67,111.41%,"15:41 ET"
LULU,202.72,Call,202.50,09/06/19,0,0.54,0.59,0.64,0.65,9033,683,13.23,0.00%,"15:49 ET"
NVDA,179.28,Put,177.50,10/04/19,28,5.85,5.95,6.05,5.95,5053,383,13.19,35.12%,"15:44 ET"
HES,64.24,Put,60.00,10/18/19,42,1.54,1.57,1.59,1.55,13046,999,13.06,39.04%,"14:18 ET"
PDD,35.28,Call,37.00,09/20/19,14,0.50,0.53,0.55,0.50,8614,677,12.72,40.77%,"15:41 ET"
CLDR,8.85,Call,9.50,09/20/19,14,0.15,0.18,0.20,0.15,2592,204,12.71,54.46%,"15:45 ET"
GPRE,9.4,Call,10.00,10/18/19,42,0.70,0.73,0.75,0.70,2526,210,12.03,73.49%,"13:41 ET"
APHA,7.08,Call,6.50,09/13/19,7,0.60,0.63,0.65,0.64,9437,799,11.81,62.19%,"15:58 ET"
BAC,27.66,Call,30.00,10/04/19,28,0.07,0.08,0.08,0.06,2164,185,11.7,20.46%,"15:46 ET"
AUY,3.47,Call,2.50,04/17/20,224,1.14,1.15,1.16,1.14,1448,125,11.58,54.22%,"15:14 ET"
CRWD,76.2,Call,80.00,09/06/19,0,0.00,0.03,0.05,0.05,1775,154,11.53,0.00%,"14:49 ET"
DOW,43.3,Call,42.50,01/15/21,497,5.60,5.8,6.00,5.90,1279,114,11.22,24.57%,"13:35 ET"
ROKU,170.02,Put,170.00,09/06/19,0,0.39,0.43,0.47,0.30,8573,778,11.02,0.00%,"15:58 ET"
WPX,10.46,Call,11.00,10/18/19,42,0.40,0.45,0.50,0.45,1542,142,10.86,46.38%,"13:56 ET"
SNAP,16.58,Call,17.00,09/13/19,7,0.25,0.26,0.26,0.26,28548,2645,10.79,47.00%,"15:59 ET"
AMZN,1834.1,Put,1827.50,09/06/19,0,0.17,0.24,0.31,0.24,2454,234,10.49,0.00%,"15:59 ET"
LCI,13.2,Put,10.00,10/18/19,42,0.50,0.6,0.70,0.65,1300,124,10.48,117.89%,"14:56 ET"
AMZN,1834.1,Put,1822.50,09/06/19,0,0.05,0.07,0.08,0.07,1582,151,10.48,0.00%,"15:58 ET"
LYFT,44.97,Put,44.50,09/06/19,0,0.00,0.03,0.05,0.03,2581,248,10.41,0.00%,"15:34 ET"
RDUS,27.93,Call,30.00,10/18/19,42,1.10,1.2,1.30,1.25,1225,118,10.38,53.41%,"15:54 ET"
CECO,20.06,Put,21.00,10/18/19,42,1.35,1.4,1.45,1.36,5472,528,10.36,30.32%,"15:59 ET"
CCJ,9.04,Call,9.00,09/06/19,0,0.05,0.08,0.10,0.05,1590,157,10.13,0.00%,"14:38 ET"
LULU,202.72,Put,200.00,09/20/19,14,3.15,3.22,3.30,3.24,1177,119,9.89,29.17%,"15:48 ET"
PM,73.08,Call,74.00,09/27/19,21,1.13,1.19,1.25,1.11,1006,102,9.86,22.15%,"15:25 ET"
BOX,17.34,Call,18.00,09/20/19,14,0.30,0.32,0.35,0.32,14251,1445,9.86,42.57%,"16:00 ET"
FB,187.95,Call,205.00,10/04/19,28,0.38,0.4,0.41,0.41,1026,105,9.77,21.55%,"14:51 ET"
HD,231.14,Call,232.50,09/13/19,7,1.87,1.92,1.96,1.90,2525,259,9.75,19.25%,"15:58 ET"
PANW,217.53,Put,215.00,09/06/19,0,0.00,0.01,0.01,0.02,1989,205,9.7,0.00%,"15:49 ET"
ROKU,170.02,Put,170.00,09/13/19,7,5.65,5.68,5.70,5.60,3087,319,9.68,58.61%,"15:57 ET"
DOCU,55.9,Put,55.00,09/20/19,14,1.20,1.25,1.30,1.30,2299,238,9.66,35.88%,"15:49 ET"
GME,4.29,Put,4.50,09/13/19,7,0.57,0.62,0.66,0.62,957,101,9.48,208.35%,"15:57 ET"
KHC,27.26,Call,28.00,09/20/19,14,0.20,0.23,0.25,0.23,1055,112,9.42,23.83%,"16:02 ET"
LULU,202.72,Put,195.00,09/06/19,0,0.00,0.01,0.02,0.01,1556,167,9.32,0.00%,"15:48 ET"
COST,304.14,Put,300.00,09/06/19,0,0.00,0.02,0.03,0.01,1480,159,9.31,0.00%,"15:49 ET"
C,65.99,Call,66.50,09/13/19,7,0.57,0.58,0.58,0.55,4663,509,9.16,20.87%,"16:01 ET"
MDCO,47.93,Put,30.00,10/18/19,42,0.40,0.7,1.00,0.82,4475,506,8.84,115.63%,"14:20 ET"
BWA,35.35,Call,37.50,09/20/19,14,0.10,0.15,0.20,0.20,876,100,8.76,31.07%,"15:03 ET"
KHC,27.26,Call,28.00,09/13/19,7,0.10,0.13,0.15,0.14,1097,126,8.71,26.69%,"15:33 ET"
SKX,34.71,Put,32.00,10/18/19,42,0.50,0.73,0.95,0.75,1489,172,8.66,39.85%,"15:51 ET"
DE,156.77,Put,145.00,12/20/19,105,4.85,4.9,4.95,4.90,4372,507,8.62,31.15%,"15:28 ET"
WDC,62.17,Put,62.00,09/06/19,0,0.02,0.04,0.05,0.02,2650,318,8.33,0.00%,"15:46 ET"
AMZN,1834.1,Put,1837.50,09/06/19,0,4.65,5.05,5.45,3.50,1850,223,8.3,0.00%,"15:55 ET"
CVE,9.1,Call,10.00,01/15/21,497,1.35,1.43,1.50,1.40,5000,606,8.25,38.87%,"13:28 ET"
MGM,28.42,Call,29.00,09/13/19,7,0.10,0.11,0.12,0.12,1054,128,8.23,20.75%,"14:25 ET"
ROKU,170.02,Call,177.50,09/13/19,7,2.60,2.65,2.69,2.64,1185,145,8.17,59.24%,"15:57 ET"
BILI,14.52,Call,30.00,01/15/21,497,0.70,0.77,0.85,0.83,985,122,8.07,53.61%,"14:55 ET"
AMZN,1834.1,Call,1837.50,09/06/19,0,0.38,0.41,0.43,0.37,3290,424,7.76,0.00%,"15:58 ET"
MU,48.97,Put,50.00,09/06/19,0,0.97,1,1.02,1.09,3258,426,7.65,0.00%,"15:21 ET"
AMGN,207.57,Call,207.50,09/13/19,7,2.78,2.86,2.94,2.92,1319,173,7.62,24.53%,"15:31 ET"
AMZN,1834.1,Put,1835.00,09/06/19,0,2.96,3.28,3.60,3.01,4049,534,7.58,0.00%,"15:59 ET"
UBER,31.96,Put,30.50,09/20/19,14,0.45,0.48,0.50,0.45,1030,136,7.57,42.46%,"15:35 ET"
LYFT,44.97,Put,42.00,09/13/19,7,0.25,0.3,0.35,0.30,1103,146,7.55,52.93%,"15:34 ET"
CAT,122.59,Put,122.00,09/13/19,7,1.17,1.19,1.21,1.14,1393,185,7.53,21.08%,"15:39 ET"
CARB,15.39,Call,17.50,10/18/19,42,0.45,0.75,1.05,0.60,835,111,7.52,64.09%,"15:52 ET"
AMZN,1834.1,Call,1835.00,09/06/19,0,0.98,1.06,1.13,0.89,6094,814,7.49,0.00%,"15:59 ET"
COST,304.14,Call,302.50,09/13/19,7,3.80,3.88,3.95,3.73,1635,219,7.47,16.22%,"16:03 ET"
UBER,31.96,Put,32.00,09/13/19,7,0.70,0.73,0.75,0.73,1545,212,7.29,41.39%,"15:48 ET"
SNAP,16.58,Put,16.00,09/27/19,21,0.45,0.46,0.46,0.45,1976,274,7.21,45.58%,"15:44 ET"
LULU,202.72,Call,202.50,09/13/19,7,3.50,3.55,3.60,3.45,2093,292,7.17,28.86%,"15:47 ET"
LULU,202.72,Put,195.00,09/20/19,14,1.63,1.69,1.75,1.69,763,107,7.13,29.83%,"15:48 ET"
FRO,8.5,Call,10.00,02/21/20,168,0.55,0.6,0.65,0.65,1524,214,7.12,49.76%,"15:23 ET"
TWLO,124.5,Call,127.00,09/06/19,0,0.00,0.04,0.07,0.02,711,100,7.11,0.00%,"15:35 ET"
WPM,28.92,Call,29.00,09/27/19,21,0.98,1.01,1.04,1.08,1070,151,7.09,39.83%,"14:51 ET"
AAL,27.81,Put,22.50,09/20/19,14,0.00,0.02,0.03,0.03,1215,172,7.06,56.87%,"14:12 ET"
CGC,27.69,Put,26.50,09/20/19,14,0.84,0.86,0.87,0.90,2125,302,7.04,67.88%,"15:07 ET"
CGC,27.69,Put,28.00,09/06/19,0,0.26,0.3,0.34,0.30,1282,186,6.89,0.00%,"16:02 ET"
LULU,202.72,Put,192.50,09/06/19,0,0.00,0.01,0.02,0.01,779,114,6.83,0.00%,"15:48 ET"
WDC,62.17,Call,61.00,09/13/19,7,1.95,1.98,2.00,1.95,1612,240,6.72,37.17%,"15:37 ET"
ROKU,170.02,Put,167.50,09/06/19,0,0.02,0.03,0.03,0.02,9061,1369,6.62,0.00%,"15:57 ET"
TSLA,228.59,Put,227.50,09/13/19,7,4.35,4.4,4.45,4.38,1639,248,6.61,39.50%,"16:02 ET"
BMY,48.32,Call,48.50,09/13/19,7,0.45,0.48,0.50,0.48,1088,165,6.59,20.82%,"15:55 ET"
WFC,47.29,Put,46.50,09/20/19,14,0.43,0.44,0.45,0.46,3270,496,6.59,22.33%,"15:38 ET"
GM,38.72,Call,40.00,10/18/19,42,0.69,0.7,0.70,0.70,11503,1748,6.58,22.58%,"15:47 ET"
UBER,31.96,Call,32.00,09/13/19,7,0.65,0.68,0.70,0.68,1394,213,6.54,38.41%,"15:49 ET"
AMZN,1834.1,Put,1830.00,09/06/19,0,0.56,0.63,0.70,0.69,6620,1012,6.54,0.00%,"15:59 ET"
AOBC,6.08,Put,6.00,10/18/19,42,0.35,0.4,0.45,0.40,1048,161,6.51,55.18%,"14:51 ET"
ADI,112.85,Put,105.00,10/18/19,42,1.50,1.58,1.65,1.60,1012,156,6.49,30.91%,"12:43 ET"
HD,231.14,Put,230.00,09/06/19,0,0.00,0.02,0.03,0.02,1088,168,6.48,0.00%,"15:54 ET"
ROKU,170.02,Put,165.00,09/06/19,0,0.01,0.02,0.02,0.01,11275,1741,6.48,0.00%,"15:56 ET"
SPWR,12.78,Put,12.00,09/13/19,7,0.12,0.13,0.14,0.11,665,103,6.46,56.40%,"15:55 ET"
PYPL,110.29,Call,116.00,10/04/19,28,0.65,0.67,0.69,0.75,695,108,6.44,21.84%,"15:21 ET"
AAPL,213.91,Put,212.50,09/06/19,0,0.02,0.03,0.03,0.02,29287,4555,6.43,0.00%,"15:57 ET"
LK,20.7,Call,20.00,09/13/19,7,0.85,0.95,1.05,0.95,2073,324,6.4,52.65%,"15:58 ET"
BYND,155.07,Call,160.00,09/13/19,7,1.50,1.58,1.65,1.60,2577,403,6.39,39.37%,"16:01 ET"
PANW,217.53,Put,212.50,09/06/19,0,0.01,0.02,0.03,0.01,807,127,6.35,0.00%,"15:45 ET"
ODP,1.53,Call,2.00,10/18/19,42,0.05,0.07,0.08,0.05,8712,1375,6.34,86.05%,"15:36 ET"
M,15.45,Put,15.00,01/17/20,133,1.74,1.76,1.77,1.77,19578,3091,6.33,55.65%,"15:48 ET"
COST,304.14,Call,305.00,09/13/19,7,2.45,2.49,2.52,2.48,3750,593,6.32,16.65%,"16:02 ET"
NVTA,21.61,Call,30.00,06/18/21,651,5.80,5.95,6.10,5.65,1459,234,6.24,68.05%,"15:38 ET"
BYND,155.07,Call,155.00,09/06/19,0,0.35,0.45,0.55,0.40,2821,454,6.21,0.00%,"16:01 ET"
SHOP,384.02,Put,385.00,09/06/19,0,2.00,2.43,2.85,2.90,2594,419,6.19,0.00%,"15:59 ET"
SQ,62.34,Call,80.00,09/27/19,21,0.04,0.05,0.05,0.05,1053,171,6.16,49.49%,"15:58 ET"
TWLO,124.5,Put,125.00,09/13/19,7,3.00,3.05,3.10,2.89,667,109,6.12,38.29%,"15:43 ET"
MLCO,20.99,Call,20.00,09/20/19,14,1.15,1.23,1.30,1.30,648,106,6.11,43.73%,"15:13 ET"
V,186.28,Put,177.50,09/13/19,7,0.23,0.25,0.26,0.25,4241,701,6.05,25.62%,"15:48 ET"
DOCU,55.9,Call,65.00,12/20/19,105,1.70,1.78,1.85,1.77,1121,186,6.03,39.73%,"15:03 ET"
GOOG,1209.27,Put,1210.00,09/06/19,0,0.35,1.48,2.60,2.00,613,102,6.01,0.00%,"15:57 ET"
LULU,202.72,Call,207.50,09/13/19,7,1.45,1.48,1.51,1.50,1706,284,6.01,29.05%,"15:50 ET"
AMZN,1834.1,Put,1840.00,09/06/19,0,7.00,7.33,7.65,6.83,1898,317,5.99,0.00%,"15:58 ET"
MU,48.97,Put,49.50,09/13/19,7,1.18,1.19,1.20,1.21,1026,172,5.97,34.30%,"15:43 ET"
BYND,155.07,Put,152.50,09/06/19,0,0.00,0.03,0.05,0.01,5883,989,5.95,0.00%,"15:56 ET"
CLDR,8.85,Call,8.50,10/04/19,28,0.65,0.7,0.75,0.70,592,100,5.92,51.97%,"15:51 ET"
M,15.45,Put,16.50,09/13/19,7,1.47,1.51,1.54,1.44,1000,170,5.88,88.79%,"13:51 ET"
AMZN,1834.1,Put,1817.50,09/06/19,0,0.01,0.03,0.05,0.01,1266,216,5.86,0.00%,"15:57 ET"
NFLX,291.52,Call,292.50,09/06/19,0,0.03,0.06,0.08,0.05,10025,1714,5.85,0.00%,"15:52 ET"
TWTR,45.6,Call,46.00,09/13/19,7,0.55,0.56,0.57,0.55,6182,1072,5.77,29.00%,"15:49 ET"
MSFT,139.55,Call,133.00,09/13/19,7,6.75,6.8,6.85,6.36,1509,262,5.76,4.80%,"13:35 ET"
AMZN,1834.1,Put,1825.00,09/06/19,0,0.09,0.1,0.10,0.10,3989,694,5.75,0.00%,"15:59 ET"
BYND,155.07,Put,145.00,09/13/19,7,1.35,1.38,1.40,1.41,1482,260,5.7,59.89%,"16:01 ET"
TME,12.97,Call,17.00,01/15/21,497,1.00,1.15,1.30,1.02,1540,271,5.68,35.22%,"14:08 ET"
COST,304.14,Call,305.00,09/06/19,0,0.00,0.02,0.03,0.02,6503,1155,5.63,0.00%,"16:03 ET"
FB,187.95,Call,187.50,09/13/19,7,2.54,2.55,2.57,2.62,7400,1319,5.61,22.18%,"15:55 ET"
ALLY,32.57,Put,31.00,12/20/19,105,1.10,1.15,1.20,1.15,1076,193,5.58,28.14%,"15:41 ET"
ATVI,54.78,Put,57.50,11/15/19,70,5.05,5.1,5.15,5.25,900,162,5.56,39.72%,"12:30 ET"
SHOP,384.02,Put,387.50,09/06/19,0,4.60,5.05,5.50,4.92,673,122,5.52,0.00%,"15:56 ET"
ZNGA,5.87,Call,6.00,09/27/19,21,0.16,0.18,0.19,0.18,934,170,5.49,42.45%,"15:11 ET"
INTC,50.9,Put,46.00,03/20/20,196,2.17,2.19,2.21,2.18,1017,186,5.47,31.09%,"15:04 ET"
CRWD,76.2,Put,78.00,09/06/19,0,1.65,1.93,2.20,1.65,611,112,5.46,0.00%,"15:49 ET"
LOW,114.46,Call,114.00,09/13/19,7,1.68,1.71,1.73,1.54,648,119,5.45,19.51%,"15:26 ET"
MA,292.02,Call,300.00,09/13/19,7,0.83,0.85,0.87,0.86,2214,406,5.45,21.05%,"15:47 ET"
ETSY,48.12,Call,50.00,09/20/19,14,0.90,0.93,0.95,0.94,1637,305,5.37,45.70%,"15:51 ET"
ABBV,67.68,Call,65.00,09/13/19,7,2.78,2.82,2.85,2.80,602,113,5.33,22.64%,"15:53 ET"
FB,187.95,Put,187.50,09/06/19,0,0.04,0.05,0.06,0.04,11777,2231,5.28,0.00%,"15:55 ET"
OMI,7.05,Put,5.00,12/20/19,105,0.35,0.43,0.50,0.45,1010,192,5.26,97.43%,"15:39 ET"
LYFT,44.97,Call,45.00,09/13/19,7,1.20,1.25,1.30,1.20,4830,918,5.26,48.75%,"15:44 ET"
COST,304.14,Put,297.50,09/13/19,7,0.88,0.9,0.92,0.90,556,106,5.25,19.43%,"15:53 ET"
INTC,50.9,Put,50.00,11/15/19,70,2.13,2.14,2.14,2.11,1180,225,5.24,29.92%,"14:45 ET"
ALLY,32.57,Put,33.00,12/20/19,105,1.95,2.03,2.10,2.00,670,129,5.19,27.05%,"15:41 ET"
LRCX,228.21,Put,230.00,09/06/19,0,1.81,1.91,2.00,1.75,919,177,5.19,0.00%,"15:10 ET"
NXPI,105.94,Call,109.00,09/20/19,14,1.03,1.05,1.07,1.06,834,161,5.18,26.65%,"15:44 ET"
AAPL,213.91,Put,152.50,09/13/19,7,0.00,0.02,0.04,0.01,1036,200,5.18,83.37%,"15:52 ET"
FIT,3.49,Call,4.00,11/15/19,70,0.22,0.23,0.23,0.23,12272,2371,5.18,67.30%,"15:55 ET"
ROKU,170.02,Call,170.00,09/06/19,0,0.16,0.18,0.20,0.24,22985,4435,5.18,0.00%,"15:58 ET"
AOBC,6.08,Call,6.50,09/13/19,7,0.10,0.13,0.15,0.10,620,120,5.17,72.90%,"13:44 ET"
NVDA,179.28,Call,195.00,09/13/19,7,0.11,0.12,0.13,0.11,1107,214,5.17,32.92%,"15:30 ET"
CARB,15.39,Call,17.50,09/20/19,14,0.20,0.33,0.45,0.45,521,101,5.16,97.12%,"16:01 ET"
GM,38.72,Call,39.00,09/06/19,0,0.00,0.01,0.02,0.02,1114,216,5.16,0.00%,"14:24 ET"
QURE,43.83,Put,45.00,10/18/19,42,3.90,4.15,4.40,3.80,1009,196,5.15,59.85%,"14:06 ET"
ZM,86.96,Call,100.00,09/13/19,7,0.00,0.03,0.05,0.04,1644,322,5.11,48.49%,"15:02 ET"
TAST,8.18,Call,10.00,12/20/19,105,0.10,0.22,0.35,0.35,1505,296,5.08,49.56%,"15:55 ET"
TSLA,228.59,Put,237.50,09/13/19,7,10.60,10.7,10.80,10.70,568,112,5.07,40.31%,"16:02 ET"
BOX,17.34,Call,20.00,10/18/19,42,0.20,0.25,0.30,0.24,876,175,5.01,42.85%,"15:47 ET"
LB,16.71,Call,17.50,09/13/19,7,0.10,0.15,0.20,0.15,1091,218,5,46.59%,"15:37 ET"
MET,46.28,Call,46.50,09/13/19,7,0.44,0.45,0.46,0.46,803,161,4.99,21.13%,"15:46 ET"
ZNGA,5.87,Call,6.00,11/15/19,70,0.44,0.46,0.48,0.44,2461,498,4.94,48.06%,"15:53 ET"
FL,39.53,Call,40.00,09/06/19,0,0.00,0.03,0.05,0.14,541,110,4.92,0.00%,"12:23 ET"
CME,223.81,Call,175.00,09/20/19,14,48.20,48.7,49.20,48.30,520,106,4.91,0.00%,"16:01 ET"
LYFT,44.97,Call,47.50,09/13/19,7,0.35,0.4,0.45,0.40,579,118,4.91,50.39%,"15:49 ET"
CME,223.81,Put,210.00,10/18/19,42,1.90,1.95,2.00,2.00,1298,265,4.9,23.66%,"16:01 ET"
ZM,86.96,Call,90.00,09/13/19,7,1.10,1.18,1.25,1.20,724,149,4.86,50.59%,"15:47 ET"
WYNN,111.85,Put,112.00,09/06/19,0,0.21,0.24,0.27,0.23,896,185,4.84,0.00%,"15:51 ET"
QSR,75.77,Call,82.50,10/18/19,42,0.30,0.38,0.45,0.37,1330,275,4.84,21.66%,"14:32 ET"
MO,44.09,Call,45.00,09/13/19,7,0.22,0.26,0.30,0.29,3110,642,4.84,26.13%,"15:51 ET"
